variable,Coefficient,,,,,
hyb_ev,0.941828006634,,,,,
smsa_age,0.011572124958,,,,,
smsa_ev,-0.320945612691,,,,,
smsa_hyb,-0.058420971969,,,,,
smsa_mc,0.007668931414,,,,,
smsa_pu,0.383957668306,,,,,
smsa_suv,0.006600414789,,,,,
smsa_van,0.138199350189,,,,,
ohio_age,-0.008011459825,,,,,
ohio_ev,-1.579886228650,,,,,
ohio_hyb,-0.141585012783,,,,,
ohio_mc,0.176768134857,,,,,
ohio_pu,-0.379280060678,,,,,
ohio_suv,-0.156955381264,,,,,
ohio_van,0.182326408508,,,,,
oreg_age,0.059713932436,,,,,
oreg_ev,0.273480072153,,,,,
oreg_hyb,0.825136350445,,,,,
oreg_mc,0.063763427139,,,,,
oreg_pu,0.198629302093,,,,,
oreg_suv,-0.129160656141,,,,,
oreg_van,0.039362077458,,,,,
dca_age,-0.042985316097,,,,,
dca_ev,-1.597546235740,,,,,
dca_hyb,-0.432290669220,,,,,
dca_mc,0.060962342406,,,,,
dca_pu,-0.439032671693,,,,,
dca_suv,0.295180443918,,,,,
dca_van,0.067978035662,,,,,
msp_age,0.008946252392,,,,,
msp_ev,-0.721504818490,,,,,
msp_hyb,-0.109943601969,,,,,
msp_mc,0.102280932066,,,,,
msp_pu,-0.093490498166,,,,,
msp_suv,-0.057085984931,,,,,
msp_van,0.283162893108,,,,,
det_age,-0.047783201317,,,,,
det_ev,0.539976984401,,,,,
det_hyb,-0.983823963733,,,,,
det_mc,0.493350919595,,,,,
det_pu,-0.162011575490,,,,,
det_suv,0.279120841693,,,,,
det_van,0.753538766070,,,,,
sea_age,0.063670706638,,,,,
sea_ev,0.695676201182,,,,,
sea_hyb,0.421610481259,,,,,
sea_mc,-0.308273040956,,,,,
sea_pu,-0.139938487637,,,,,
sea_suv,-0.146862537107,,,,,
sea_van,0.095397483875,,,,,
atl_age,0.017528936878,,,,,
atl_ev,0.553139370296,,,,,
atl_hyb,-0.177934814860,,,,,
atl_mc,-0.328146501694,,,,,
atl_pu,-0.114541377156,,,,,
