,,variable,index,Coefficient,Standard error
126,0,i025_age,,0.101748585,1.28E-03
127,0,i025_mc,,5.23E-02,5.14E-02
128,0,i025_pu,,3.49E-02,1.96E-02
129,0,i025_suv,,-0.42975338,1.89E-02
130,0,i025_van,,0.2524231,3.07E-02
131,0,age20,,-0.339268636,1.96E-02
132,0,age19,,-1.957384939,2.35E-02
133,0,age18,,-1.655331871,2.16E-02
134,0,age17,,-1.357369599,2.01E-02
135,0,,F,-1.178361821,1.90E-02
136,0,,F,-1.023026743,1.80E-02
137,0,,F,-0.843972714,1.70E-02
138,0,,F,-0.684007182,1.61E-02
139,0,,F,-0.536157856,1.53E-02
140,0,,F,-0.461961729,1.46E-02
141,0,,F,-0.389277509,1.41E-02
142,0,,F,-0.354299583,1.36E-02
143,0,,F,-0.603212864,1.41E-02
144,0,,F,-0.40687499,1.32E-02
145,0,,F,-0.360251818,1.28E-02
146,0,,F,-0.14488536,1.19E-02
147,0,,F,-9.32E-03,1.14E-02
148,0,,F,3.09E-02,1.11E-02
149,0,,F,8.35E-02,1.09E-02
150,0,,F,-5.315363912,6.17E-02
151,0,,F,-1.183947055,2.03E-02
152,0,,F,-0.65272866,1.75E-02
153,0,,F,-2.426039269,3.27E-02
